sku,title,brand,supplier,reason
08-010377,"MP - CR Pro Throttle Kit, Honda TRX 350/400/420/650/680",,A1,not_found
08-010401,"MP - Cable, Black Vinyl, Throttle Push/Pull - Special Application - Indent Order (01-0401)",,A1,not_found
08-010404,"Motion Pro - Cable, Black Vinyl, Throttle - Special Application - Suits 08-012812",,A1,not_found
08-010460,"Motion Pro - Cable, Black Vinyl, Throttle - Special Application - Suits 08-012812",,A1,not_found
08-010462,"Motion Pro - Cable, Black Vinyl, Throttle - Special Application - Suits 08-012812",,A1,not_found
08-010466,"MP - Cable, Black Vinyl, Throttle -CRF/XR 50 High Rise Bars (+ 4 inch)",,A1,not_found
08-010473,"Motion Pro Cable, Black Vinyl, Throttle - Special Application YFZ 450",,A1,not_found
08-010564,"Motion Pro CR Pro Throttle Kit, Yamaha YFM660 Grizzly 02-08",,A1,not_found
08-010605,MP throttle cable,,A1,not_found
08-010609,"Motion Pro - Cable, Black Vinyl, Throttle - Special Application",,A1,not_found
08-010674,"Motion Pro Cable, Black Vinyl, Throttle - Special Application (01-0674)",,A1,not_found
08-010675,"Motion Pro Cable, Black Vinyl, Throttle - Special Application (01-0675)",,A1,not_found
08-010724,MP Black Vinyl Throttle Cable,,A1,not_found
08-010726,"Motion Pro Cable, Black, Vinyle, Throttle - Special Order",,A1,not_found
08-010813,"MP Cable, Black Vinyl, Throttle - Special 01-0813",,A1,not_found
08-011012,"Motion Pro Cable, Cable, Black Vinyl, Throttle - Indent Order",,A1,not_found
08-011014,"Motion Pro - Cable, Black Vinyl, Throttle - Special Application - Suits 08-012812",,A1,not_found
08-011016,"Motion Pro - Cable, Black Vinyl, Throttle - Special Application - Suits 08-012812",,A1,not_found
08-011019,"Motion Pro - Cable, Black Vinyl, Throttle - Special Application - Suits 08-012812",,A1,not_found
08-011030,"Motion Pro - Cable, Black Vinyl, Throttle - Special Application - Suits 08-012812",,A1,not_found
08-011031,"Motion Pro - Cable, Black Vinyl, Throttle - Special Application - Suits 08-012812",,A1,not_found
08-011034,"Motion Pro - Cable, Black Vinyl, Throttle - Special Application",,A1,not_found
08-011040,"Motion Pro Throttle tube, street, Honda",,A1,not_found
08-011041,"Motion Pro Throttle tube, street, Honda",,A1,not_found
08-011042,"Motion Pro Throttle tube, street, Kawasaki",,A1,not_found
08-011043,"Motion Pro Throttle tube, street, Kawasaki",,A1,not_found
08-011044,"Motion Pro Throttle tube, street, Suzuki",,A1,not_found
08-011045,"Motion Pro Throttle tube, street, Suzuki",,A1,not_found
08-011056,MP Revolver Throttle Cable - Replacement for 08-012591 CR Pro Twist Throttle,,A1,not_found
08-011058,"Motion Pro - Cable, Black Vinyl, Throttle - Special Application Polaris",,A1,not_found
08-011062,"Motion Pro - Cable, Black Vinyl, Throttle - Special Application - Suits 08-012812",,A1,not_found
08-011072,"Motion Pro - Cable, Black Vinyl, Throttle - Special Application - Suits 08-012812",,A1,not_found
08-011080,"Motion Pro - Cable, Black Vinyl, Throttle - Special Application - Suits 08-012812",,A1,not_found
08-011083,"Motion Pro - Cable, Black Vinyl, Throttle - Special Application - Suits 08-012812",,A1,not_found
08-011093,MP - Revolver Reel 35mm - Black,,A1,not_found
08-011095,MP - Revolver Reel 45mm - Red,,A1,not_found
08-011096,MP - Revolver Reel 50mm - Yellow,,A1,not_found
08-011119,MP Throttle Cable for 08-012630,,A1,not_found
08-011131,"Motion Pro RoadControl Grips, Diamond Pattern, Black",,A1,not_found
08-011170,MP - Titan Throttle Tubes (Yamaha/Kawasaki/Suzuki),,A1,not_found
08-011171,MP - Titan Throttle Tubes ( KTM ),,A1,not_found
08-011172,MP - Titan Throttle Tubes ( Revolver Upgrade ),,A1,not_found
08-011185,Motion Pro 2 Stroke Titan Throttle Tube KTM/Honda,,A1,not_found
08-011186,Motion Pro 2 Stroke Titan Throttle Tube Kaw/Suz/Yam,,A1,not_found
08-011195,MP - Titan Throttle Tubes (Suzuki & Yamaha ),,A1,not_found
08-011197,"Motion Pro - Cable, Black Vinyl, Throttle - Special Application - Suits 08-012812",,A1,not_found
08-011198,MP - Yamaha R1/R6 Bar Extenders (Pair),,A1,not_found
08-011214,MP - Rev2.1 housing complete with screws,,A1,not_found
08-011217,MP - Rev2.1 Throttle Tube - Street,,A1,not_found
08-011218,"MP - Rev2 Reel - 35mm, Black",,A1,not_found
08-011219,"MP - Rev2 Reel - 40mm, Blue",,A1,not_found
08-011220,"MP - Rev2 Reel - 45mm, Red",,A1,not_found
08-011221,"MP - Rev2 Reel - 50mm, Yellow",,A1,not_found
08-011223,"MP Cable, Black Vinyl Throttle Puch-Pull Set Rev 2 (01-1223) - For Rev Kit 01-2721",,A1,not_found
08-011230,MP - REV2 cable for a 01-2728,,A1,not_found
08-011261,MP - Rev2 Off-Road Cam Reel,,A1,not_found
08-011268,"MP - Cable, Black Vinyl, Throttle Push-Pull Set, Rev2",,A1,not_found
08-011284,MP - Rev2.1 Titan throttle tube - Off Road,,A1,not_found
08-011298,MP - Titan Throttle Tube ( KTM 125cc to 500 cc 2015-17 ),,A1,not_found
08-011303,"Motion Pro Throttle tube, street, Yamaha",,A1,not_found
08-011307,Motion pro cable to suit 08-012800 Revolver Kit,,A1,not_found
08-011310,"Motion Pro Throttle Tube, Kawasaki",,A1,not_found
08-011311,"Motion Pro Throttle Tube, Kawasaki",,A1,not_found
08-011317,"MP - Cable, Black Vinyl, Throttle Push-Pull Set, Rev2 Kit 01-2807",,A1,not_found
08-011320,MP -Rev3 housing complete with screws,,A1,not_found
08-011321,MP - Rev3 Throttle Tube - Street,,A1,not_found
08-011323,"MP - Rev3 Reel - 35mm, Black",,A1,not_found
08-011324,"MP - Rev3 Reel - 40mm, Blue",,A1,not_found
08-011325,"MP - Rev3 Reel - 45mm, Red",,A1,not_found
08-011326,"MP - Rev3 Reel - 50mm, Yellow",,A1,not_found
08-011327,MP - Rev3 Street Reel- Orange,,A1,not_found
08-011328,MP - Rev3 Off-Road Reel - Grey,,A1,not_found
08-011375,"MP - Cable, Black Vinyl, Throttle - Suits Vortex SE 08-012810",,A1,not_found
08-011400,"Motion Pro - Cable, Black Vinyl, Throttle (01-1400)",,A1,not_found
08-011401,"Motion Pro - Cable, Black Vinyl, Throttle - Special Application - Suits 08-012810 - Superseded from 08-011352 & 08-010713",,A1,not_found
08-011418,"Motion Pro - Cable, Black Vinyl, Throttle - Special Application - Suits 08-012813 - Superseded from 08-010409",,A1,not_found
08-011427,"Motion Pro - Cable, Black Vinyl, Throttle - Special Application - Suits 08-012813 - Superseded from 08-010742",,A1,not_found
08-011490,MP - REV3 cable for a 01-1490,,A1,not_found
08-011515,"MP Cable, Black Vinyl Throttle Push-Pull Set Rev 2/Rev 3 (01-1515)",,A1,not_found
08-011532,"MP - Cable, Black Vinyl, Throttle Push-Pull Set, Rev3, SIW",,A1,not_found
08-011533,"MP Cable, Black Vinyl Throttle Push-Pull Set Rev 2/Rev 3 (01-1533)",,A1,not_found
08-012516,MP CR Pro Throttle Kit KVF 650/750,,A1,not_found
08-012575,Motion Pro - CR Pro Throttle Kit - LTR 450 2006-08,,A1,not_found
08-012591,Motion Pro CR Throttle Kit,,A1,not_found
08-012597,"Motion Pro CR Pro Throttle Kit, Yamaha YFM550/700 Grizzly 07-14 - Superseded to 08-012890",,A1,not_found
08-012603,Motion Pro CR Pro Throttle Kit - YFM250 R 08,,A1,not_found
08-012655,"MP - CR Pro Throttle Kit, Honda TRX250 Recon. 97-15",,A1,not_found
08-012703,"MP - CR Pro Throttle Kit, Honda TRX420FPA/FPE/FPM 09-13",,A1,not_found
08-012739,"MP REV2 Throttle Kit, Kawasaki ZX-10R 06-07 - Superseded to 08-012929",,A1,not_found
08-012751,"MP REV2 Throttle Kit, Yamaha YZ450F 10-13 - Superseded to 08-012940",,A1,not_found
08-012758,"MP REV2 Throttle Kit, KTM RC8 08-13 - Superseded to 08-012946",,A1,not_found
08-012759,"MP REV2 Throttle Kit, Husqvarna TC449/511 - Superseded to 08-012947",,A1,not_found
08-012763,"MP REV2 Throttle Kit, Kawasaki KX450F 13-15 - Superseded to 08-012951",,A1,not_found
08-012772,"MP REV2 Throttle Kit, Honda CRF250R 14-17 - Superseded to 08-012958",,A1,not_found
08-012773,"MP - CR Pro Throttle Kit, Honda TRX420/500 14 - Superseded to 08-0129",,A1,not_found
08-012779,"MP REV2 Throttle Kit, Aprilia RSV4/RSV4-R 2009-15 - Superseded to 08-012964",,A1,not_found
08-012799,"MP REV2 Throttle Kit, Aprillia Tuono V4 1100 Factory APRC 2015-16 - Superseded to 08-012979",,A1,not_found
08-012812,Motion Pro CR Pro SE Throttle - Superseded from 08-010053,,A1,not_found
08-012813,Motion Pro Throttle Assembly - Turbo - Superseeded from 08-010057,,A1,not_found
08-012815,Motion Pro Throttle Assembly - Push/Pull (Black) - Superseded from 08-010058,,A1,not_found
08-012816,"MP DirtControl II Grips, Made by ODI, Black",,A1,not_found
08-012817,"MP DirtControl II Grips, Made by ODI, Grey",,A1,not_found
08-012818,"Motion Pro DirtControl V2 Lock-On Grips, Made by ODI, Black",,A1,not_found
08-012819,"Motion Pro DirtControl V2 Lock-On Grips, Made by ODI, Grey",,A1,not_found
08-012824,MP -VORTEX SE Throttle Kit - Superseded from 08-010512,,A1,not_found
08-012825,Motion Pro Vortex SE Throttle Kit - YFZ 350 1987-06 - Superseded from 08-010513,,A1,not_found
08-012826,"MP Vortex SE Throttle Kit, Yamaha YFM660R 01-05 - Superseded from 08-010521",,A1,not_found
08-012827,Motion Pro Vortex SE Throttle Kit - LTZ/KFX 400 2003-08 - Superseded from 08-010562,,A1,not_found
08-012828,MP VORTEX SE Throttle Kit - Superseded from 08-010572,,A1,not_found
08-012829,Motion Pro Vortex SE Throttle Kit - YFZ 450 2004-08 - Superseded from 08-010579,,A1,not_found
08-012830,Motion Pro Vortex SE Throttle Kit - TRX 450R 2004-08 - Superseded from 08-012513,,A1,not_found
08-012833,MP Vortex SE Throttle Kit KTM 85/105/125/150/250 SX 04-2016 -Superseded from 08-012573,,A1,not_found
08-012834,MP Vortex SE Throttle Kit - LTR 450 2006-08 LT-Z 400 09 - Superseded from 08-012581,,A1,not_found
08-012837,MP Vortex SE Throttle Kit - Cam An DS450 - Superseded from 08-012607,,A1,not_found
08-012838,"MP Vortex SE Throttle Kit - ATV 450SX/XC, 505SX, 525XC - Superseded from 08-012609",,A1,not_found
08-012839,"MP Vortex SE Throttle Kit, Yamaha YFZ450 fuel Injected 09-14 - Superseded from 08-012650",,A1,not_found
08-012840,"MP Vortex SE Throttle Kit, KTM 65SX 09-14 - Superseded from 08-012672",,A1,not_found
08-012847,"MP - Turbo SE Throttle Kit, Suzuki RM125/250 88-92/ LT250/300",,A1,not_found
08-012863,Motion Pro CR Pro SE Throttle Kit - YFZ 350 1987-06 - Superseded from 08-010313,,A1,not_found
08-012863K,Motion Pro CR Pro Throttle Kit - YFZ 350 1987-06 - Superseded from 08-010313K,,A1,not_found
08-012869,MP - CR Pro SE Throttle Kit - Superseded from 08-010337,,A1,not_found
08-012885,Motion Pro CR Pro SE Throttle - Yamaha Raptor 700,,A1,not_found
08-012889,"MP - CR Pro SE Throttle Kit, Kawasaki KFX450R 08-14 - Superseded from 08-012594",,A1,not_found
08-012895,"Motion Pro CR Pro SE Throttle Kit, Honda TRX 700xx 08-10 - Superseded from 08-012613",,A1,not_found
08-012910,"Rev3 Throttle Kit, Honda CRF250/450R 05-09, CRF250/450X 04-09/12-13 - Superseded from 08-012720",,A1,not_found
08-012911,"Rev3 Throttle Kit, Suzuki RMZ250 08-18, RMZ450 08-12, RMX450 10-11 - Superseded from 08-012721",,A1,not_found
08-012912,"Rev3 Throttle Kit, Yamaha YZ/WR250F 03-13, YZ/WR450F 03-09 - Superseded from 08-012722",,A1,not_found
08-012913,"Rev3 Throttle Kit, Husaburg / Husqvarna / KTM - Superseded from 08-012723",,A1,not_found
08-012914,"Rev3 Throttle Kit, Husaburg / KTM - Superseded from 08-012724",,A1,not_found
08-012915,"Rev3 Throttle Kit, Kawasaki KX250F 06-10, KX450F 06-08, KLX450 08-09/12-19/18-19 - Superseded from 08-012725",,A1,not_found
08-012916,"Rev3 Throttle Kit, Suzuki GSX-R1000 07-08 - Superseded from 08-012726",,A1,not_found
08-012917,"MP - REV3 Throttle Kit, Suzuki GSXR1000 05-06 - Superseded from 08-012727",,A1,not_found
08-012918,"Mp - REV3 Throttle Kit, Suzuki GSXR600/750 08-09 - Superseded from 08-012728",,A1,not_found
08-012919,"Mp - REV3 Throttle Kit, Suzuki GSXR600/750 06-07 - Superseded from 08-012729",,A1,not_found
08-012920,"MP REV3 Throttle Kit, Suzuki GSXR600/750 04-05 - Superseded from 08-012730",,A1,not_found
08-012921,"MP REV3 Throttle Kit, Suzuki SV650 03-13/ SV1000 03-08 - Superseded from 08-012731",,A1,not_found
08-012922,"MP REV3 Throttle Kit, Honda CBR1000RR 08-13 - Superseded from 08-012732",,A1,not_found
08-012923,"MP REV3 Throttle Kit, Honda CBR1000RR 04-07 - Superseded from 08-012733",,A1,not_found
08-012924,"Rev3 Throttle Kit, Honda CBR600 07-14 - Superseded from 08-012734",,A1,not_found
08-012925,"Rev3 Throttle Kit, Honda CBR600 03-06 - Superseded from 08-012735",,A1,not_found
08-012926,"Rev3 Throttle Kit, Yamaha YZF R1 04-06 - Superseded from 08-012736",,A1,not_found
08-012927,"MP REV3 Throttle Kit, Yamaha YZF R6 06-07 - Superseded from 08-012737",,A1,not_found
08-012928,"MP REV3 Throttle Kit, Yamaha YZF R6 03-05 - Superseded from 08-012738",,A1,not_found
08-012929,"MP REV3 Throttle Kit, Kawasaki ZX-10R 06-07 - Superseded from 08-012739",,A1,not_found
08-012930,"MP REV3 Throttle Kit, Kawasaki ZX-6R 05-06 - Superseded from 08-012740",,A1,not_found
08-012931,"MP REV3 Throttle Kit, Kawasaki ZX6R 07-08 - Superseded from 08-012741",,A1,not_found
08-012932,"MP REV3 Throttle Kit, Yamaha YZF R1 - Superseded from 08-012742",,A1,not_found
08-012933,"MP REV3 Throttle Kit, Yamaha YZF R6 08-14 - Superseded from 08-012743",,A1,not_found
08-012934,"MP REV3 Throttle Kit, Kawasaki ZX-10R 08-09 - Superseded from 08-012744",,A1,not_found
08-012935,"Rev3 Throttle Kit, Honda CRF250R 18-22, CRF450R 09-18, CRF450RX 17-18 - Superseded from 08-012745",,A1,not_found
08-012936,"MP REV3 Throttle Kit, Yamaha YZF R1 - Superseded from 08-012747",,A1,not_found
08-012937,"MP REV3 Throttle Kit, ZX6R 2009-12 - Superseded from 08-012748",,A1,not_found
08-012938,"MP REV3 Throttle Kit, Suzuki GSX-R1000 09 - Superseded from 08-012749",,A1,not_found
08-012939,"MP REV3 Throttle Kit, Ducati 848/1098/1198 08-13 - Superseded from 08-012750",,A1,not_found
08-012940,"Rev3 Throttle Kit, Yamaha YZ450F 10-13 - Superseded from 08-012751",,A1,not_found
08-012941,"Rev3 Throttle Kit, Honda CRF250R 10-13 - Superseded from 08-012752",,A1,not_found
08-012942,MP REV3 Throttle Kit ZX10R 2011-15 - Superseded from 08-012753,,A1,not_found
08-012943,"MP REV3 Throttle Kit, BMW S1000RR 09-14 - Superseded from 08-012754",,A1,not_found
08-012944,"Rev3 Throttle Kit, Kawasaki KX250F 11-12, KX450F 12 - Superseded from 08-012755",,A1,not_found
08-012945,"MP REV3 Throttle Kit, Suzuki GSX-R600/750 11-14 - Superseded from 08-012756",,A1,not_found
08-012946,"MP REV3 Throttle Kit, KTM RC8 08-13 - Superseded from 08-012758",,A1,not_found
08-012947,"Rev3 Throttle Kit, Husqvarna TC449 11-13, TXC449 11-12, TXC511 11-12 - Superseded from 08-012759",,A1,not_found
08-012948,"MP REV3 Throttle Kit, Kawasaki Ninja 250 08-12 - Superseded from 08-012760",,A1,not_found
08-012949,"MP REV3 Throttle Kit, Suzuki GSX-R1300R 08-15 - Superseded from 08-012761",,A1,not_found
08-012950,"Rev3 Throttle Kit, Kawasaki KX250F 13-16 - Superseded from 08-012762",,A1,not_found
08-012951,"Rev3 Throttle Kit, Kawasaki KX450F 13-15 - Superseded from 08-012763",,A1,not_found
08-012952,"Rev3 Throttle Kit, Husaberg / Husqvarna / KTM - Superseded from 08-012765",,A1,not_found
08-012953,"Rev3 Throttle Kit, Kawasaki ZX-6R 13-15 - Superseded from 08-012766",,A1,not_found
08-012954,"MP REV3 Throttle Kit, Kawasaki ZX-14R 06-14 - Superseded from 08-012767",,A1,not_found
08-012955,"Rev3 Throttle Kit, Suzuki RMZ450 13-17 - Superseded from 08-012768",,A1,not_found
08-012956,MP - VR Rev3 Throttle Kit - Triumph Daytona 675R 2012 - Superseded from 08-012769,,A1,not_found
08-012957,"MP REV3 Throttle Kit, Harley-Davidson XR1200X 09-12 - Superseded from 08-012770",,A1,not_found
08-012958,"Rev3 Throttle Kit, Honda CRF250R 14-17 - Superseded from 08-012772",,A1,not_found
08-012959,"Rev3 Throttle Kit, Yamaha YZ250F/FX 14-19, WR250F 15-19, YZ450F 16-17 - Superseded from 08-012774",,A1,not_found
08-012960,"Rev3 Throttle Kit, Yamaha YZ450F 14-15, YZ450FX 16-18, WR450F 16-18 - Superseded from 08-012775",,A1,not_found
08-012961,"MP REV3 Throttle Kit, Honda 125 Grom - Superseded from 08-012776",,A1,not_found
08-012962,Motion Pro REV3 kit Daytona 675r - Superseded from 08-012777,,A1,not_found
08-012963,"MP REV3 Throttle Kit, 01-1283/ Grip, Sportbike - Superseded from 08-012778",,A1,not_found
08-012964,"MP REV3 Throttle Kit, Aprilia RSV4/RSV4-R 2009-15 - Superseded from 08-012779",,A1,not_found
08-012965,"MP REV3 Throttle Kit, Kawasaki Ninja 300 13-15 - Superseded from 08-012780",,A1,not_found
08-012966,"Rev3 Throttle Kit, Yamaha R1 2015/16 - Superseded from 08-012781",,A1,not_found
08-012967,"MP REV3 Throttle Kit, Yamaha R3 2015-18 - Superseded from 08-012782",,A1,not_found
08-012968,"Rev3 Throttle Kit, Husqvarna / KTM - Superseded from 08-012783",,A1,not_found
08-012969,"Rev3 Throttle Kit, Husqvarna / KTM - Superseded from 08-012784",,A1,not_found
08-012970,MP REV3 Throttle Kit KTM RC390 2015/16 - Superseded from 08-012785,,A1,not_found
08-012971,"Rev3 Throttle Kit, Kawasaki KX450F 16-18 - Superseded from 08-012786",,A1,not_found
08-012972,"MP REV3 Throttle Kit, Kawasaki Ninja 650R 09-15 - Superseded from 08-012788",,A1,not_found
08-012973,"MP REV3 Throttle Kit, Kawasaki ZX-10R 2016-17 - Superseded from 08-012789",,A1,not_found
08-012974,"Rev3 Throttle Kit, Kawasaki KX250F 17-22, KX250X 21-22 - Superseded from 08-012794",,A1,not_found
08-012975,"Rev3 Throttle Kit, Husqvarna FE501 17 / KTM 500 EXC 17-19 - Superseded from 08-012795",,A1,not_found
08-012976,"MP REV3 Throttle Kit, Yamaha YZF-R6 17-18 - Superseded from 08-012796",,A1,not_found
08-012977,"Rev3 Throttle Kit, Honda CRF250R 18-22, CRF450R/RX 17-18 - Superseded from 08-012797",,A1,not_found
08-012978,"MP REV3 Throttle Kit, Suzuki GSX-R1000 17-18 - Superseded from 08-012798",,A1,not_found
08-012979,"MP REV3 Throttle Kit, Aprillia Tuono V4 1100 Factory APRC 2015-16 - Superseded from 08-012799",,A1,not_found
08-012980,"Rev3 Throttle Kit, Kawasaki Ninja 400 2018 - Superseded from 08-012800",,A1,not_found
08-012981,"Rev3 Throttle Kit, Yamaha MT-07 15-18 - Superseded from 08-012801",,A1,not_found
08-012982,"Rev3 Throttle Kit, Yamaha MT-09 14-18 - Superseded from 08-012802",,A1,not_found
08-012983,"Rev3 Throttle Kit, Honda CRF450R/RX 19-20 - Superseded from 08-012803",,A1,not_found
08-012984,"Rev3 Throttle Kit, Kawasaki KX450F 19-20/22, KX450X 21-22 - Superseded from 08-012804",,A1,not_found
08-012985,"Rev3 Throttle Kit, Yamaha YZ450F/FX 18-22, WR450F 19-22 - Superseded from 08-012805",,A1,not_found
08-012986,"Rev3 Throttle Kit, Suzuki RMZ250 19-21, RMZ450 18-21 - Superseded from 08-012806",,A1,not_found
08-012987,"Rev3 Throttle Kit, Gas-Gas / Husqvarna / KTM - Superseded from 08-012807",,A1,not_found
08-012988,"MP REV3 Throttle Kit, Suzuki SFV650 2009,2014-15, SV650 2017-19 - Superseded from 08-012808",,A1,not_found
08-012989,"MP REV3 Throttle Kit, Suzuki DRZ400E/S/SM - Superseded from 08-012809",,A1,not_found
08-012990,"Rev3 Throttle Kit, Yamaha YZ250F/FX 19-21, WR250F 20-22 - Superseded from 08-012814",,A1,not_found
08-012995,"MP REV3 Throttle Kit, Yamaha YZF-R7",,A1,not_found
08-012998,"MP Rev3 Throttle Kit, Honda CRF450R 21-23 (01-2998)",,A1,not_found
08-013013,"MP - TURBO Throttle Kit, Can-Am DS650 2000-05, DS650X 05-07",,A1,not_found
08-013025,"MP Rev3 Throttle Kit, Yamaha YZ450F 23-24 (01-3025)",,A1,not_found
08-013026,"MP Rev3 Throttle Kit, KTM Group 125/250/300 23-24 (01-3026)",,A1,not_found
08-013028,Motion Pro CR Pro SE Throttle Kit KTM/Husq/GasGas 65,,A1,not_found
08-013031,"MP Vortex SE Throttle Kit, KTM 85SX",,A1,not_found
08-020058,"Motion Pro Cable, Black Vinyl, Clutch",,A1,not_found
08-020139,"Motion Pro Cable, Black Vinyl, Front Brake",,A1,not_found
08-023000,"Motion Pro Cable, T3 Slidelight, Clutch Cable CRF 450X 06-09 (02-3000)",,A1,not_found
08-023001,"Motion Pro Cable, T3 Slidelight, Clutch Cable CRF 450R 2008 (02-3001)",,A1,not_found
08-023002,"Motion Pro Cable, T3 Slidelight, Clutch Cable CRF 250X 04-09 (02-3002)",,A1,not_found
08-023003,"Motion Pro Cable, T3 Slidelight, Clutch Cable CRF 250R 08-09 (02-3003)",,A1,not_found
08-023004,"Motion Pro Cable, T3 Slidelight, Hot Start Cable CRF 250R/X 08-09 / CRF 450R 02-08 / CRF 450X 08-09 (02-3004)",,A1,not_found
08-023005,"Motion Pro Cable, T3 Slidelight, Clutch Cable CRF 450R 02-07 (02-3005)",,A1,not_found
08-023006,"Motion Pro Cable, T3 Slidelight Clutch Cable CRF 450R/250R 10-14 (02-3006)",,A1,not_found
08-023008,"MP Cable, T3 Slidelight Clutch Cable with Bracket CRF 450R 10-11 (02-3008)",,A1,not_found
